id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-14856,2021-03-31,000001,Vente,260000,5379,,SAINT ANDRE,B027,05000,05059,La Freissinouse,05,,,050590000B1263,,,,,,,,,,,,,0,1,Maison,90,4,S,sols,,,430,6.013089,44.543764
2021-14857,2021-03-31,000001,Vente,337670,1,,RUE DES LAVANDINS,1314,05000,05061,Gap,05,,,05061000DE0054,,,16,,35,,,,,,,,2,2,Appartement,126,5,,,,,,6.074548,44.562892
2021-14858,2021-03-30,000001,Vente,152190,15,G,RUE DU VERGER,2262,05000,05061,Gap,05,,,05061000CL0207,,,13,,41,,,,,,,,2,2,Appartement,86,5,,,,,,6.076699,44.553954
2021-14858,2021-03-30,000001,Vente,152190,15,G,RUE DU VERGER,2262,05000,05061,Gap,05,,,05061000CL0207,,,307,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.076699,44.553954
2021-14859,2021-03-31,000002,Vente,268500,5315,,L EGLISE,B062,05200,05128,Saint-André-d'Embrun,05,,,051280000B0598,,,,,,,,,,,,,0,1,Maison,65,3,S,sols,,,272,6.534301,44.587457
2021-14859,2021-03-31,000002,Vente,268500,,,L EGLISE,B062,05200,05128,Saint-André-d'Embrun,05,,,051280000B1761,,,,,,,,,,,,,0,,,,,T,terres,,,105,6.534401,44.587424
2021-14860,2021-03-20,000001,Vente,60300,5226,,PRE LA FAYSSE,B111,05200,05098,Les Orres,05,,,05098000AB0020,,,153,27.03,,,,,,,,,1,2,Appartement,26,1,,,,,,6.551583,44.488839
2021-14860,2021-03-20,000001,Vente,60300,5226,,PRE LA FAYSSE,B111,05200,05098,Les Orres,05,,,05098000AB0020,,,89,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.551583,44.488839
2021-14860,2021-03-20,000001,Vente,60300,5226,,PRE LA FAYSSE,B111,05200,05098,Les Orres,05,,,05098000AB0020,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.551583,44.488839
2021-14861,2021-03-19,000001,Vente,75000,5163,,LE QUEYRAS,B284,05600,05026,Ceillac,05,,,050260000A1123,,,18,,39,28.05,,,,,,,2,2,Appartement,29,1,,,,,,6.772483,44.673471
2021-14862,2021-03-30,000001,Vente,4995411.5,61,,GRAFFINEL,B033,05000,05061,Gap,05,,,05061000BY0029,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,0,S,sols,,,4311,6.055951,44.539058
